num,arquivo,headline,primary_text,description,cta
01,01-headline-manifesto.png,"menos achismo. mais método.","a decisão da especialidade não é sentimento. é método. o match cruza 100+ pontos do seu perfil com as 55 áreas reconhecidas no brasil. R$ 149.","R$ 149 · 14 dias garantia","Saiba Mais"
02,02-anti-claim.png,"o match da especialidade.","você passou 6 anos na faculdade. vai mesmo fechar a especialidade com base no plantão de ontem? faz o match. 14 dias de garantia.","R$ 149 · 14 dias garantia","Saiba Mais"
03,03-us-vs-them.png,"achismo ou método?","dois jeitos de escolher: chute educado ou 100+ pontos do seu perfil cruzados com 55 áreas. um dói em 5 anos. o outro fecha agora.","R$ 149 · 14 dias garantia","Saiba Mais"
04,04-testimonial-camila.png,"top 1: surpresa real.","""uma especialidade que eu nem pensava antes."" — camila, estudante. o match trouxe pra ela uma área fora do radar.","R$ 149 · 14 dias garantia","Saiba Mais"
05,05-problem-state-ugc.png,"a noite mais longa.","4 da manhã. estudando. ainda em dúvida sobre qual especialidade vai assinar pelos próximos 30 anos. tem outro caminho.","R$ 149 · 14 dias garantia","Saiba Mais"
06,06-stat-social-proof.png,"570 mil. e você.","570 mil médicos no brasil. cada um escolhe uma área. quantos fizeram isso com método? você ainda dá tempo.","R$ 149 · 14 dias garantia","Saiba Mais"
07,07-feature-triptych.png,"muito mais que um teste.","o match cruza 100+ pontos × 55 áreas. entrega ranking ordenado, narrativa explicando cada match e acervo com 50+ lives.","R$ 149 · 14 dias garantia","Saiba Mais"
08,08-aspirational-hero.png,"decida com método.","a versão de você daqui a 5 anos depende da decisão que você toma agora. fecha com método, não no escuro.","R$ 149 · 14 dias garantia","Saiba Mais"
09,09-press-editorial.png,"o que faltava.","a faculdade te dá conteúdo. não te dá método pra decidir a especialidade. é por isso que o med escolha existe.","R$ 149 · 14 dias garantia","Saiba Mais"
10,10-testimonial-vanessa.png,"bati o martelo.","""fez eu bater o martelo."" — vanessa, médica formada há 2 anos, conta como saiu da indecisão com o med escolha.","R$ 149 · 14 dias garantia","Saiba Mais"
11,11-testimonial-julia.png,"em paz com o futuro.","""meu coração em paz com meu futuro."" — júlia, estudante de medicina, depois de fazer o match.","R$ 149 · 14 dias garantia","Saiba Mais"
